Date,Time,PAR,Y(II),Y(NPQ),Y(NO),NPQ,qN,qP,qL,ETR,PAR(II),ETR(II),PB#,Sigma
01.04.20,8:43:45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB1,1.616
01.04.20,8:43:47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB1,1.616
01.04.20,8:43:45,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,PB1,1.616
01.04.20,8:43:45,0,0.715,0,0.285,0,0,1,1,0,0,0,PB1,1.616
01.04.20,8:44:06,1,0.695,0.004,0.301,0.014,0.018,0.976,0.923,0.3,0.9731552,0.945934076,PB1,1.616
01.04.20,8:44:36,2,0.699,0.002,0.298,0.008,0.01,0.981,0.937,0.6,1.9463104,1.902756601,PB1,1.616
01.04.20,8:45:06,11,0.667,0.003,0.331,0.009,0.011,0.935,0.806,3.1,10.7047072,9.986069514,PB1,1.616
01.04.20,8:45:36,31,0.546,0.006,0.448,0.014,0.018,0.767,0.487,7.1,30.1678112,23.03723764,PB1,1.616
01.04.20,8:46:06,55,0.506,0.015,0.479,0.031,0.039,0.715,0.423,11.7,53.523536,37.87819471,PB1,1.616
01.04.20,8:46:36,80,0.495,0.026,0.48,0.053,0.065,0.703,0.412,16.6,77.852416,53.89782646,PB1,1.616
01.04.20,8:47:06,114,0.49,0.035,0.475,0.074,0.088,0.7,0.412,23.4,110.9396928,76.02860066,PB1,1.616
01.04.20,8:47:36,150,0.485,0.042,0.473,0.089,0.105,0.696,0.41,30.6,145.97328,99.01684028,PB1,1.616
01.04.20,8:48:06,195,0.466,0.047,0.488,0.096,0.112,0.669,0.381,38.1,189.765264,123.6791791,PB1,1.616
01.04.20,8:48:36,260,0.438,0.052,0.511,0.102,0.118,0.63,0.342,47.8,253.020352,154.9970828,PB1,1.616
01.04.20,8:49:06,345,0.371,0.064,0.565,0.114,0.13,0.535,0.262,53.7,335.738544,174.2083914,PB1,1.616
01.04.20,8:49:36,440,0.319,0.069,0.612,0.113,0.13,0.461,0.208,59,428.188288,191.0378516,PB1,1.616
01.04.20,8:50:06,556,0.267,0.076,0.657,0.116,0.132,0.385,0.162,62.3,541.0742912,202.0515185,PB1,1.616
01.04.20,8:50:36,690,0.219,0.083,0.698,0.119,0.136,0.316,0.125,63.3,671.477088,205.669206,PB1,1.616
01.04.20,8:51:06,844,0.179,0.092,0.729,0.126,0.142,0.26,0.098,63.6,821.3429888,205.6229301,PB1,1.616
01.04.20,8:51:36,1007,0.149,0.1,0.751,0.132,0.149,0.217,0.079,63.1,979.9672864,204.216959,PB1,1.616
01.04.20,8:52:06,1207,0.121,0.109,0.77,0.141,0.157,0.176,0.063,61.4,1174.598326,198.7781783,PB1,1.616
01.04.20,8:52:36,1414,0.1,0.119,0.781,0.152,0.168,0.147,0.051,59.6,1376.041453,192.45335,PB1,1.616
01.04.20,8:53:06,1689,0.079,0.132,0.79,0.167,0.182,0.116,0.04,56,1643.659133,181.607093,PB1,1.616
01.04.20,8:53:36,1995,0.063,0.146,0.791,0.184,0.198,0.092,0.032,52.4,1941.444624,171.0643515,PB1,1.616
01.04.20,8:53:48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB1,1.616
01.04.20,9:42:19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB2,1.491
01.04.20,9:42:20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB2,1.491
01.04.20,9:42:19,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,PB2,1.491
01.04.20,9:42:19,0,0.722,0,0.278,0,0,1,1,0,0,0,PB2,1.491
01.04.20,9:42:39,1,0.703,0.007,0.29,0.025,0.031,0.981,0.935,0.3,0.8978802,0.874251774,PB2,1.491
01.04.20,9:43:09,2,0.71,0.005,0.285,0.016,0.02,0.988,0.959,0.6,1.7957604,1.765913967,PB2,1.491
01.04.20,9:43:39,11,0.688,0.005,0.307,0.017,0.021,0.957,0.862,3.2,9.8766822,9.411575282,PB2,1.491
01.04.20,9:44:09,31,0.617,0.006,0.377,0.016,0.021,0.859,0.631,8,27.8342862,23.78636369,PB2,1.491
01.04.20,9:44:39,55,0.571,0.014,0.415,0.033,0.04,0.798,0.529,13.2,49.383411,39.0553015,PB2,1.491
